TOP.66b3cf76.00081c5a	START
TOP.66b3cf76.00081c5a	user_options->keep_guessing	0
TOP.66b3cf76.00081c5a	user_options->kernel_accel	0
TOP.66b3cf76.00081c5a	user_options->kernel_loops	0
TOP.66b3cf76.00081c5a	user_options->kernel_threads	0
TOP.66b3cf76.00081c5a	user_options->keyspace	0
TOP.66b3cf76.00081c5a	user_options->left	0
TOP.66b3cf76.00081c5a	user_options->logfile_disable	0
TOP.66b3cf76.00081c5a	user_options->loopback	0
TOP.66b3cf76.00081c5a	user_options->machine_readable	0
TOP.66b3cf76.00081c5a	user_options->markov_classic	0
TOP.66b3cf76.00081c5a	user_options->markov_disable	0
TOP.66b3cf76.00081c5a	user_options->markov_inverse	0
TOP.66b3cf76.00081c5a	user_options->markov_threshold	32
TOP.66b3cf76.00081c5a	user_options->multiply_accel_disable	0
TOP.66b3cf76.00081c5a	user_options->backend_info	0
TOP.66b3cf76.00081c5a	user_options->backend_vector_width	0
TOP.66b3cf76.00081c5a	user_options->optimized_kernel_enable	0
TOP.66b3cf76.00081c5a	user_options->outfile_autohex	1
TOP.66b3cf76.00081c5a	user_options->outfile_check_timer	5
TOP.66b3cf76.00081c5a	user_options->outfile_format	3
TOP.66b3cf76.00081c5a	user_options->wordlist_autohex_disable	0
TOP.66b3cf76.00081c5a	user_options->potfile_disable	0
TOP.66b3cf76.00081c5a	user_options->progress_only	0
TOP.66b3cf76.00081c5a	user_options->quiet	0
TOP.66b3cf76.00081c5a	user_options->remove	0
TOP.66b3cf76.00081c5a	user_options->remove_timer	60
TOP.66b3cf76.00081c5a	user_options->restore	0
TOP.66b3cf76.00081c5a	user_options->restore_disable	0
TOP.66b3cf76.00081c5a	user_options->restore_timer	1
TOP.66b3cf76.00081c5a	user_options->rp_files_cnt	0
TOP.66b3cf76.00081c5a	user_options->rp_gen	0
TOP.66b3cf76.00081c5a	user_options->rp_gen_func_max	4
TOP.66b3cf76.00081c5a	user_options->rp_gen_func_min	1
TOP.66b3cf76.00081c5a	user_options->rp_gen_seed	0
TOP.66b3cf76.00081c5a	user_options->runtime	0
TOP.66b3cf76.00081c5a	user_options->scrypt_tmto	0
TOP.66b3cf76.00081c5a	user_options->segment_size	33554432
TOP.66b3cf76.00081c5a	user_options->self_test_disable	0
TOP.66b3cf76.00081c5a	user_options->slow_candidates	0
TOP.66b3cf76.00081c5a	user_options->show	0
TOP.66b3cf76.00081c5a	user_options->speed_only	0
TOP.66b3cf76.00081c5a	user_options->spin_damp	0
TOP.66b3cf76.00081c5a	user_options->status	0
TOP.66b3cf76.00081c5a	user_options->status_json	0
TOP.66b3cf76.00081c5a	user_options->status_timer	10
TOP.66b3cf76.00081c5a	user_options->stdout_flag	0
TOP.66b3cf76.00081c5a	user_options->usage	0
TOP.66b3cf76.00081c5a	user_options->username	0
TOP.66b3cf76.00081c5a	user_options->veracrypt_pim_start	485
TOP.66b3cf76.00081c5a	user_options->veracrypt_pim_stop	485
TOP.66b3cf76.00081c5a	user_options->version	0
TOP.66b3cf76.00081c5a	user_options->workload_profile	2
TOP.66b3cf76.00081c5a	user_options->brain_client	0
TOP.66b3cf76.00081c5a	user_options->brain_client_features	2
TOP.66b3cf76.00081c5a	user_options->brain_server	0
TOP.66b3cf76.00081c5a	user_options->brain_server_timer	300
TOP.66b3cf76.00081c5a	user_options->brain_port	6863
TOP.66b3cf76.00081c5a	user_options->brain_session	0
TOP.66b3cf76.00081c5a	hashes->hashfile	example0.hash
TOP.66b3cf76.00081c5a	hashes->hashlist_mode	5
TOP.66b3cf76.00081c5a	hashes->hashlist_format	0
TOP.66b3cf76.00081c5a	hashes->hashes_cnt	0
TOP.66b3cf76.00081c5a	hashes->digests_cnt	6494
TOP.66b3cf76.00081c5a	hashes->digests_done_pot	0
TOP.66b3cf76.00081c5a	hashes->digests_done_zero	0
TOP.66b3cf76.00081c5a	hashes->digests_done	0
TOP.66b3cf76.00081c5a	hashes->salts_cnt	1
TOP.66b3cf76.00081c5a	hashes->salts_done	0
TOP.66b3cf76.00081c5a	SUB.66b3cf8b.00079ccb	START
TOP.66b3cf76.00081c5a	SUB.66b3cf8b.00079ccb	straight_ctx->dict	example.dict
TOP.66b3cf76.00081c5a	SUB.66b3cf8b.00079ccb	mask_ctx->mask	?a?a?a?a
TOP.66b3cf76.00081c5a	SUB.66b3cf8b.00079ccb	runtime_start	1723060111
TOP.66b3cf76.00081c5a	SUB.66b3cf8b.00079ccb	runtime_stop	1723060149
TOP.66b3cf76.00081c5a	SUB.66b3cf8b.00079ccb	hashes->digests_done_new	1072
TOP.66b3cf76.00081c5a	SUB.66b3cf8b.00079ccb	status-after-work	8
TOP.66b3cf76.00081c5a	SUB.66b3cf8b.00079ccb	STOP
TOP.66b3cf76.00081c5a	proc_start	1723060086
TOP.66b3cf76.00081c5a	proc_stop	1723060152
TOP.66b3cf76.00081c5a	STOP
TOP.66b68c3e.000bd2b2	START
TOP.66b68c3e.000bd2b2	folder_config->cwd	C:\Users\Admin\Documents\PK SEMESTR 3\PRACA MAGISTERSKA\DISTRIBUTED CRACKING\hashcat
TOP.66b68c3e.000bd2b2	folder_config->install_dir	.
TOP.66b68c3e.000bd2b2	folder_config->profile_dir	.
TOP.66b68c3e.000bd2b2	folder_config->session_dir	.
TOP.66b68c3e.000bd2b2	folder_config->shared_dir	.
TOP.66b68c3e.000bd2b2	user_options->encoding_from	utf-8
TOP.66b68c3e.000bd2b2	user_options->encoding_to	utf-8
TOP.66b68c3e.000bd2b2	user_options->outfile	output.txt
TOP.66b68c3e.000bd2b2	user_options->rule_buf_l	:
TOP.66b68c3e.000bd2b2	user_options->rule_buf_r	:
TOP.66b68c3e.000bd2b2	user_options->session	hashcat
TOP.66b68c3e.000bd2b2	user_options->separator	:
TOP.66b68c3e.000bd2b2	user_options->limit	0
TOP.66b68c3e.000bd2b2	user_options->skip	0
TOP.66b68c3e.000bd2b2	user_options->attack_mode	0
TOP.66b68c3e.000bd2b2	user_options->benchmark	0
TOP.66b68c3e.000bd2b2	user_options->benchmark_all	0
TOP.66b68c3e.000bd2b2	user_options->bitmap_max	18
TOP.66b68c3e.000bd2b2	user_options->bitmap_min	16
TOP.66b68c3e.000bd2b2	user_options->debug_mode	0
TOP.66b68c3e.000bd2b2	user_options->hash_info	0
TOP.66b68c3e.000bd2b2	user_options->force	0
TOP.66b68c3e.000bd2b2	user_options->hwmon_disable	0
TOP.66b68c3e.000bd2b2	user_options->hwmon_temp_abort	90
TOP.66b68c3e.000bd2b2	user_options->hash_mode	0
TOP.66b68c3e.000bd2b2	user_options->hex_charset	0
TOP.66b68c3e.000bd2b2	user_options->hex_salt	0
TOP.66b68c3e.000bd2b2	user_options->hex_wordlist	0
TOP.66b68c3e.000bd2b2	user_options->hook_threads	4
TOP.66b68c3e.000bd2b2	user_options->identify	0
TOP.66b68c3e.000bd2b2	user_options->increment	0
TOP.66b68c3e.000bd2b2	user_options->increment_max	256
TOP.66b68c3e.000bd2b2	user_options->increment_min	1
TOP.66b68c3e.000bd2b2	user_options->keep_guessing	0
TOP.66b68c3e.000bd2b2	user_options->kernel_accel	0
TOP.66b68c3e.000bd2b2	user_options->kernel_loops	0
TOP.66b68c3e.000bd2b2	user_options->kernel_threads	0
TOP.66b68c3e.000bd2b2	user_options->keyspace	0
TOP.66b68c3e.000bd2b2	user_options->left	0
TOP.66b68c3e.000bd2b2	user_options->logfile_disable	0
TOP.66b68c3e.000bd2b2	user_options->loopback	0
TOP.66b68c3e.000bd2b2	user_options->machine_readable	0
TOP.66b68c3e.000bd2b2	user_options->markov_classic	0
TOP.66b68c3e.000bd2b2	user_options->markov_disable	0
TOP.66b68c3e.000bd2b2	user_options->markov_inverse	0
TOP.66b68c3e.000bd2b2	user_options->markov_threshold	256
TOP.66b68c3e.000bd2b2	user_options->multiply_accel_disable	0
TOP.66b68c3e.000bd2b2	user_options->backend_info	0
TOP.66b68c3e.000bd2b2	user_options->backend_vector_width	0
TOP.66b68c3e.000bd2b2	user_options->optimized_kernel_enable	0
TOP.66b68c3e.000bd2b2	user_options->outfile_autohex	1
TOP.66b68c3e.000bd2b2	user_options->outfile_check_timer	5
TOP.66b68c3e.000bd2b2	user_options->outfile_format	3
TOP.66b68c3e.000bd2b2	user_options->wordlist_autohex_disable	0
TOP.66b68c3e.000bd2b2	user_options->potfile_disable	0
TOP.66b68c3e.000bd2b2	user_options->progress_only	0
TOP.66b68c3e.000bd2b2	user_options->quiet	0
TOP.66b68c3e.000bd2b2	user_options->remove	0
TOP.66b68c3e.000bd2b2	user_options->remove_timer	60
TOP.66b68c3e.000bd2b2	user_options->restore	0
TOP.66b68c3e.000bd2b2	user_options->restore_disable	0
TOP.66b68c3e.000bd2b2	user_options->restore_timer	1
TOP.66b68c3e.000bd2b2	user_options->rp_files_cnt	0
TOP.66b68c3e.000bd2b2	user_options->rp_gen	0
TOP.66b68c3e.000bd2b2	user_options->rp_gen_func_max	4
TOP.66b68c3e.000bd2b2	user_options->rp_gen_func_min	1
TOP.66b68c3e.000bd2b2	user_options->rp_gen_seed	0
TOP.66b68c3e.000bd2b2	user_options->runtime	0
TOP.66b68c3e.000bd2b2	user_options->scrypt_tmto	0
TOP.66b68c3e.000bd2b2	user_options->segment_size	33554432
TOP.66b68c3e.000bd2b2	user_options->self_test_disable	0
TOP.66b68c3e.000bd2b2	user_options->slow_candidates	0
TOP.66b68c3e.000bd2b2	user_options->show	0
TOP.66b68c3e.000bd2b2	user_options->speed_only	0
TOP.66b68c3e.000bd2b2	user_options->spin_damp	0
TOP.66b68c3e.000bd2b2	user_options->status	0
TOP.66b68c3e.000bd2b2	user_options->status_json	0
TOP.66b68c3e.000bd2b2	user_options->status_timer	10
TOP.66b68c3e.000bd2b2	user_options->stdout_flag	0
TOP.66b68c3e.000bd2b2	user_options->usage	0
TOP.66b68c3e.000bd2b2	user_options->username	0
TOP.66b68c3e.000bd2b2	user_options->veracrypt_pim_start	485
TOP.66b68c3e.000bd2b2	user_options->veracrypt_pim_stop	485
TOP.66b68c3e.000bd2b2	user_options->version	0
TOP.66b68c3e.000bd2b2	user_options->workload_profile	2
TOP.66b68c3e.000bd2b2	user_options->brain_client	0
TOP.66b68c3e.000bd2b2	user_options->brain_client_features	2
TOP.66b68c3e.000bd2b2	user_options->brain_server	0
TOP.66b68c3e.000bd2b2	user_options->brain_server_timer	300
TOP.66b68c3e.000bd2b2	user_options->brain_port	6863
TOP.66b68c3e.000bd2b2	user_options->brain_session	0
TOP.66b68c3e.000bd2b2	proc_start	1723239486
TOP.66b68c3e.000bd2b2	proc_stop	1723239487
TOP.66b68c3e.000bd2b2	STOP
TOP.66b68c52.00020395	START
TOP.66b68c52.00020395	folder_config->cwd	C:\Users\Admin\Documents\PK SEMESTR 3\PRACA MAGISTERSKA\DISTRIBUTED CRACKING\hashcat
TOP.66b68c52.00020395	folder_config->install_dir	.
TOP.66b68c52.00020395	folder_config->profile_dir	.
TOP.66b68c52.00020395	folder_config->session_dir	.
TOP.66b68c52.00020395	folder_config->shared_dir	.
TOP.66b68c52.00020395	user_options->encoding_from	utf-8
TOP.66b68c52.00020395	user_options->encoding_to	utf-8
TOP.66b68c52.00020395	user_options->outfile	..\output.txt
TOP.66b68c52.00020395	user_options->rule_buf_l	:
TOP.66b68c52.00020395	user_options->rule_buf_r	:
TOP.66b68c52.00020395	user_options->session	hashcat
TOP.66b68c52.00020395	user_options->separator	:
TOP.66b68c52.00020395	user_options->limit	0
TOP.66b68c52.00020395	user_options->skip	0
TOP.66b68c52.00020395	user_options->attack_mode	0
TOP.66b68c52.00020395	user_options->benchmark	0
TOP.66b68c52.00020395	user_options->benchmark_all	0
TOP.66b68c52.00020395	user_options->bitmap_max	18
TOP.66b68c52.00020395	user_options->bitmap_min	16
TOP.66b68c52.00020395	user_options->debug_mode	0
TOP.66b68c52.00020395	user_options->hash_info	0
TOP.66b68c52.00020395	user_options->force	0
TOP.66b68c52.00020395	user_options->hwmon_disable	0
TOP.66b68c52.00020395	user_options->hwmon_temp_abort	90
TOP.66b68c52.00020395	user_options->hash_mode	0
TOP.66b68c52.00020395	user_options->hex_charset	0
TOP.66b68c52.00020395	user_options->hex_salt	0
TOP.66b68c52.00020395	user_options->hex_wordlist	0
TOP.66b68c52.00020395	user_options->hook_threads	4
TOP.66b68c52.00020395	user_options->identify	0
TOP.66b68c52.00020395	user_options->increment	0
TOP.66b68c52.00020395	user_options->increment_max	256
TOP.66b68c52.00020395	user_options->increment_min	1
TOP.66b68c52.00020395	user_options->keep_guessing	0
TOP.66b68c52.00020395	user_options->kernel_accel	0
TOP.66b68c52.00020395	user_options->kernel_loops	0
TOP.66b68c52.00020395	user_options->kernel_threads	0
TOP.66b68c52.00020395	user_options->keyspace	0
TOP.66b68c52.00020395	user_options->left	0
TOP.66b68c52.00020395	user_options->logfile_disable	0
TOP.66b68c52.00020395	user_options->loopback	0
TOP.66b68c52.00020395	user_options->machine_readable	0
TOP.66b68c52.00020395	user_options->markov_classic	0
TOP.66b68c52.00020395	user_options->markov_disable	0
TOP.66b68c52.00020395	user_options->markov_inverse	0
TOP.66b68c52.00020395	user_options->markov_threshold	256
TOP.66b68c52.00020395	user_options->multiply_accel_disable	0
TOP.66b68c52.00020395	user_options->backend_info	0
TOP.66b68c52.00020395	user_options->backend_vector_width	0
TOP.66b68c52.00020395	user_options->optimized_kernel_enable	0
TOP.66b68c52.00020395	user_options->outfile_autohex	1
TOP.66b68c52.00020395	user_options->outfile_check_timer	5
TOP.66b68c52.00020395	user_options->outfile_format	3
TOP.66b68c52.00020395	user_options->wordlist_autohex_disable	0
TOP.66b68c52.00020395	user_options->potfile_disable	0
TOP.66b68c52.00020395	user_options->progress_only	0
TOP.66b68c52.00020395	user_options->quiet	0
TOP.66b68c52.00020395	user_options->remove	0
TOP.66b68c52.00020395	user_options->remove_timer	60
TOP.66b68c52.00020395	user_options->restore	0
TOP.66b68c52.00020395	user_options->restore_disable	0
TOP.66b68c52.00020395	user_options->restore_timer	1
TOP.66b68c52.00020395	user_options->rp_files_cnt	0
TOP.66b68c52.00020395	user_options->rp_gen	0
TOP.66b68c52.00020395	user_options->rp_gen_func_max	4
TOP.66b68c52.00020395	user_options->rp_gen_func_min	1
TOP.66b68c52.00020395	user_options->rp_gen_seed	0
TOP.66b68c52.00020395	user_options->runtime	0
TOP.66b68c52.00020395	user_options->scrypt_tmto	0
TOP.66b68c52.00020395	user_options->segment_size	33554432
TOP.66b68c52.00020395	user_options->self_test_disable	0
TOP.66b68c52.00020395	user_options->slow_candidates	0
TOP.66b68c52.00020395	user_options->show	0
TOP.66b68c52.00020395	user_options->speed_only	0
TOP.66b68c52.00020395	user_options->spin_damp	0
TOP.66b68c52.00020395	user_options->status	0
TOP.66b68c52.00020395	user_options->status_json	0
TOP.66b68c52.00020395	user_options->status_timer	10
TOP.66b68c52.00020395	user_options->stdout_flag	0
TOP.66b68c52.00020395	user_options->usage	0
TOP.66b68c52.00020395	user_options->username	0
TOP.66b68c52.00020395	user_options->veracrypt_pim_start	485
TOP.66b68c52.00020395	user_options->veracrypt_pim_stop	485
TOP.66b68c52.00020395	user_options->version	0
TOP.66b68c52.00020395	user_options->workload_profile	2
TOP.66b68c52.00020395	user_options->brain_client	0
TOP.66b68c52.00020395	user_options->brain_client_features	2
TOP.66b68c52.00020395	user_options->brain_server	0
TOP.66b68c52.00020395	user_options->brain_server_timer	300
TOP.66b68c52.00020395	user_options->brain_port	6863
TOP.66b68c52.00020395	user_options->brain_session	0
TOP.66b68c52.00020395	hashes->hashfile	..\hash.txt
TOP.66b68c52.00020395	hashes->hashlist_mode	5
TOP.66b68c52.00020395	hashes->hashlist_format	0
TOP.66b68c52.00020395	hashes->hashes_cnt	0
TOP.66b68c52.00020395	hashes->digests_cnt	1
TOP.66b68c52.00020395	hashes->digests_done_pot	0
TOP.66b68c52.00020395	hashes->digests_done_zero	0
TOP.66b68c52.00020395	hashes->digests_done	0
TOP.66b68c52.00020395	hashes->salts_cnt	1
TOP.66b68c52.00020395	hashes->salts_done	0
TOP.66b68c52.00020395	SUB.66b68c5b.000c6f1f	START
TOP.66b68c52.00020395	SUB.66b68c5b.000c6f1f	straight_ctx->dict	..\wordlists\10k-most-common.txt
TOP.66b68c52.00020395	SUB.66b68c5b.000c6f1f	runtime_start	1723239516
TOP.66b68c52.00020395	SUB.66b68c5b.000c6f1f	runtime_stop	1723239516
TOP.66b68c52.00020395	SUB.66b68c5b.000c6f1f	hashes->digests_done_new	1
TOP.66b68c52.00020395	SUB.66b68c5b.000c6f1f	status-after-work	6
TOP.66b68c52.00020395	SUB.66b68c5b.000c6f1f	STOP
TOP.66b68c52.00020395	proc_start	1723239506
TOP.66b68c52.00020395	proc_stop	1723239517
TOP.66b68c52.00020395	STOP
TOP.66b68ca8.00053587	START
TOP.66b68ca8.00053587	folder_config->cwd	C:\Users\Admin\Documents\PK SEMESTR 3\PRACA MAGISTERSKA\DISTRIBUTED CRACKING\hashcat
TOP.66b68ca8.00053587	folder_config->install_dir	.
TOP.66b68ca8.00053587	folder_config->profile_dir	.
TOP.66b68ca8.00053587	folder_config->session_dir	.
TOP.66b68ca8.00053587	folder_config->shared_dir	.
TOP.66b68ca8.00053587	user_options->encoding_from	utf-8
TOP.66b68ca8.00053587	user_options->encoding_to	utf-8
TOP.66b68ca8.00053587	user_options->outfile	..\output.txt
TOP.66b68ca8.00053587	user_options->rule_buf_l	:
TOP.66b68ca8.00053587	user_options->rule_buf_r	:
TOP.66b68ca8.00053587	user_options->session	hashcat
TOP.66b68ca8.00053587	user_options->separator	:
TOP.66b68ca8.00053587	user_options->limit	0
TOP.66b68ca8.00053587	user_options->skip	0
TOP.66b68ca8.00053587	user_options->attack_mode	0
TOP.66b68ca8.00053587	user_options->benchmark	0
TOP.66b68ca8.00053587	user_options->benchmark_all	0
TOP.66b68ca8.00053587	user_options->bitmap_max	18
TOP.66b68ca8.00053587	user_options->bitmap_min	16
TOP.66b68ca8.00053587	user_options->debug_mode	0
TOP.66b68ca8.00053587	user_options->hash_info	0
TOP.66b68ca8.00053587	user_options->force	0
TOP.66b68ca8.00053587	user_options->hwmon_disable	0
TOP.66b68ca8.00053587	user_options->hwmon_temp_abort	90
TOP.66b68ca8.00053587	user_options->hash_mode	0
TOP.66b68ca8.00053587	user_options->hex_charset	0
TOP.66b68ca8.00053587	user_options->hex_salt	0
TOP.66b68ca8.00053587	user_options->hex_wordlist	0
TOP.66b68ca8.00053587	user_options->hook_threads	4
TOP.66b68ca8.00053587	user_options->identify	0
TOP.66b68ca8.00053587	user_options->increment	0
TOP.66b68ca8.00053587	user_options->increment_max	256
TOP.66b68ca8.00053587	user_options->increment_min	1
TOP.66b68ca8.00053587	user_options->keep_guessing	0
TOP.66b68ca8.00053587	user_options->kernel_accel	0
TOP.66b68ca8.00053587	user_options->kernel_loops	0
TOP.66b68ca8.00053587	user_options->kernel_threads	0
TOP.66b68ca8.00053587	user_options->keyspace	0
TOP.66b68ca8.00053587	user_options->left	0
TOP.66b68ca8.00053587	user_options->logfile_disable	0
TOP.66b68ca8.00053587	user_options->loopback	0
TOP.66b68ca8.00053587	user_options->machine_readable	0
TOP.66b68ca8.00053587	user_options->markov_classic	0
TOP.66b68ca8.00053587	user_options->markov_disable	0
TOP.66b68ca8.00053587	user_options->markov_inverse	0
TOP.66b68ca8.00053587	user_options->markov_threshold	256
TOP.66b68ca8.00053587	user_options->multiply_accel_disable	0
TOP.66b68ca8.00053587	user_options->backend_info	0
TOP.66b68ca8.00053587	user_options->backend_vector_width	0
TOP.66b68ca8.00053587	user_options->optimized_kernel_enable	0
TOP.66b68ca8.00053587	user_options->outfile_autohex	1
TOP.66b68ca8.00053587	user_options->outfile_check_timer	5
TOP.66b68ca8.00053587	user_options->outfile_format	3
TOP.66b68ca8.00053587	user_options->wordlist_autohex_disable	0
TOP.66b68ca8.00053587	user_options->potfile_disable	0
TOP.66b68ca8.00053587	user_options->progress_only	0
TOP.66b68ca8.00053587	user_options->quiet	0
TOP.66b68ca8.00053587	user_options->remove	0
TOP.66b68ca8.00053587	user_options->remove_timer	60
TOP.66b68ca8.00053587	user_options->restore	0
TOP.66b68ca8.00053587	user_options->restore_disable	0
TOP.66b68ca8.00053587	user_options->restore_timer	1
TOP.66b68ca8.00053587	user_options->rp_files_cnt	0
TOP.66b68ca8.00053587	user_options->rp_gen	0
TOP.66b68ca8.00053587	user_options->rp_gen_func_max	4
TOP.66b68ca8.00053587	user_options->rp_gen_func_min	1
TOP.66b68ca8.00053587	user_options->rp_gen_seed	0
TOP.66b68ca8.00053587	user_options->runtime	0
TOP.66b68ca8.00053587	user_options->scrypt_tmto	0
TOP.66b68ca8.00053587	user_options->segment_size	33554432
TOP.66b68ca8.00053587	user_options->self_test_disable	0
TOP.66b68ca8.00053587	user_options->slow_candidates	0
TOP.66b68ca8.00053587	user_options->show	0
TOP.66b68ca8.00053587	user_options->speed_only	0
TOP.66b68ca8.00053587	user_options->spin_damp	0
TOP.66b68ca8.00053587	user_options->status	0
TOP.66b68ca8.00053587	user_options->status_json	0
TOP.66b68ca8.00053587	user_options->status_timer	10
TOP.66b68ca8.00053587	user_options->stdout_flag	0
TOP.66b68ca8.00053587	user_options->usage	0
TOP.66b68ca8.00053587	user_options->username	0
TOP.66b68ca8.00053587	user_options->veracrypt_pim_start	485
TOP.66b68ca8.00053587	user_options->veracrypt_pim_stop	485
TOP.66b68ca8.00053587	user_options->version	0
TOP.66b68ca8.00053587	user_options->workload_profile	2
TOP.66b68ca8.00053587	user_options->brain_client	0
TOP.66b68ca8.00053587	user_options->brain_client_features	2
TOP.66b68ca8.00053587	user_options->brain_server	0
TOP.66b68ca8.00053587	user_options->brain_server_timer	300
TOP.66b68ca8.00053587	user_options->brain_port	6863
TOP.66b68ca8.00053587	user_options->brain_session	0
TOP.66b68ca8.00053587	hashes->hashfile	..\hash.txt
TOP.66b68ca8.00053587	hashes->hashlist_mode	5
TOP.66b68ca8.00053587	hashes->hashlist_format	0
TOP.66b68ca8.00053587	hashes->hashes_cnt	0
TOP.66b68ca8.00053587	hashes->digests_cnt	1
TOP.66b68ca8.00053587	hashes->digests_done_pot	0
TOP.66b68ca8.00053587	hashes->digests_done_zero	0
TOP.66b68ca8.00053587	hashes->digests_done	0
TOP.66b68ca8.00053587	hashes->salts_cnt	1
TOP.66b68ca8.00053587	hashes->salts_done	0
TOP.66b68ca8.00053587	SUB.66b68ca9.0004731c	START
TOP.66b68ca8.00053587	SUB.66b68ca9.0004731c	straight_ctx->dict	..\wordlists\10k-most-common.txt
TOP.66b68ca8.00053587	SUB.66b68ca9.0004731c	runtime_start	1723239593
TOP.66b68ca8.00053587	SUB.66b68ca9.0004731c	runtime_stop	1723239593
TOP.66b68ca8.00053587	SUB.66b68ca9.0004731c	hashes->digests_done_new	1
TOP.66b68ca8.00053587	SUB.66b68ca9.0004731c	status-after-work	6
TOP.66b68ca8.00053587	SUB.66b68ca9.0004731c	STOP
TOP.66b68ca8.00053587	proc_start	1723239592
TOP.66b68ca8.00053587	proc_stop	1723239595
TOP.66b68ca8.00053587	STOP
TOP.66b68cc8.0009eb9d	START
TOP.66b68cc8.0009eb9d	folder_config->cwd	C:\Users\Admin\Documents\PK SEMESTR 3\PRACA MAGISTERSKA\DISTRIBUTED CRACKING\hashcat
TOP.66b68cc8.0009eb9d	folder_config->install_dir	.
TOP.66b68cc8.0009eb9d	folder_config->profile_dir	.
TOP.66b68cc8.0009eb9d	folder_config->session_dir	.
TOP.66b68cc8.0009eb9d	folder_config->shared_dir	.
TOP.66b68cc8.0009eb9d	user_options->encoding_from	utf-8
TOP.66b68cc8.0009eb9d	user_options->encoding_to	utf-8
TOP.66b68cc8.0009eb9d	user_options->outfile	..\output.txt
TOP.66b68cc8.0009eb9d	user_options->rule_buf_l	:
TOP.66b68cc8.0009eb9d	user_options->rule_buf_r	:
TOP.66b68cc8.0009eb9d	user_options->session	hashcat
TOP.66b68cc8.0009eb9d	user_options->separator	:
TOP.66b68cc8.0009eb9d	user_options->limit	0
TOP.66b68cc8.0009eb9d	user_options->skip	0
TOP.66b68cc8.0009eb9d	user_options->attack_mode	0
TOP.66b68cc8.0009eb9d	user_options->benchmark	0
TOP.66b68cc8.0009eb9d	user_options->benchmark_all	0
TOP.66b68cc8.0009eb9d	user_options->bitmap_max	18
TOP.66b68cc8.0009eb9d	user_options->bitmap_min	16
TOP.66b68cc8.0009eb9d	user_options->debug_mode	0
TOP.66b68cc8.0009eb9d	user_options->hash_info	0
TOP.66b68cc8.0009eb9d	user_options->force	0
TOP.66b68cc8.0009eb9d	user_options->hwmon_disable	0
TOP.66b68cc8.0009eb9d	user_options->hwmon_temp_abort	90
TOP.66b68cc8.0009eb9d	user_options->hash_mode	0
TOP.66b68cc8.0009eb9d	user_options->hex_charset	0
TOP.66b68cc8.0009eb9d	user_options->hex_salt	0
TOP.66b68cc8.0009eb9d	user_options->hex_wordlist	0
TOP.66b68cc8.0009eb9d	user_options->hook_threads	4
TOP.66b68cc8.0009eb9d	user_options->identify	0
TOP.66b68cc8.0009eb9d	user_options->increment	0
TOP.66b68cc8.0009eb9d	user_options->increment_max	256
TOP.66b68cc8.0009eb9d	user_options->increment_min	1
TOP.66b68cc8.0009eb9d	user_options->keep_guessing	0
TOP.66b68cc8.0009eb9d	user_options->kernel_accel	0
TOP.66b68cc8.0009eb9d	user_options->kernel_loops	0
TOP.66b68cc8.0009eb9d	user_options->kernel_threads	0
TOP.66b68cc8.0009eb9d	user_options->keyspace	0
TOP.66b68cc8.0009eb9d	user_options->left	0
TOP.66b68cc8.0009eb9d	user_options->logfile_disable	0
TOP.66b68cc8.0009eb9d	user_options->loopback	0
