TOP.66ba5c2b.0002db06	START
TOP.66ba5c37.000d5d1f	user_options->bitmap_min	16
TOP.66ba5c37.000d5d1f	user_options->debug_mode	0
TOP.66ba5c37.000d5d1f	user_options->hash_info	0
TOP.66ba5c37.000d5d1f	user_options->force	0
TOP.66ba5c37.000d5d1f	user_options->hwmon_disable	0
TOP.66ba5c37.000d5d1f	user_options->hwmon_temp_abort	90
TOP.66ba5c37.000d5d1f	user_options->hash_mode	0
TOP.66ba5c37.000d5d1f	user_options->hex_charset	0
TOP.66ba5c37.000d5d1f	user_options->hex_salt	0
TOP.66ba5c37.000d5d1f	user_options->hex_wordlist	0
TOP.66ba5c37.000d5d1f	user_options->hook_threads	0
TOP.66ba5c37.000d5d1f	user_options->identify	0
TOP.66ba5c37.000d5d1f	user_options->increment	0
TOP.66ba5c37.000d5d1f	user_options->increment_max	256
TOP.66ba5c37.000d5d1f	user_options->increment_min	1
TOP.66ba5c37.000d5d1f	user_options->keep_guessing	0
TOP.66ba5c37.000d5d1f	user_options->kernel_accel	0
TOP.66ba5c37.000d5d1f	user_options->kernel_loops	0
TOP.66ba5c37.000d5d1f	user_options->kernel_threads	0
TOP.66ba5c37.000d5d1f	user_options->keyspace	0
TOP.66ba5c37.000d5d1f	user_options->left	0
TOP.66ba5c37.000d5d1f	user_options->logfile_disable	0
TOP.66ba5c37.000d5d1f	user_options->loopback	0
TOP.66ba5c37.000d5d1f	user_options->machine_readable	0
TOP.66ba5c37.000d5d1f	user_options->markov_classic	0
TOP.66ba5c37.000d5d1f	user_options->markov_disable	0
TOP.66ba5c37.000d5d1f	user_options->markov_inverse	0
TOP.66ba5c37.000d5d1f	user_options->markov_threshold	256
TOP.66ba5c37.000d5d1f	user_options->multiply_accel_disable	0
TOP.66ba5c37.000d5d1f	user_options->backend_info	0
TOP.66ba5c37.000d5d1f	user_options->backend_vector_width	0
TOP.66ba5c37.000d5d1f	user_options->optimized_kernel_enable	0
TOP.66ba5c37.000d5d1f	user_options->outfile_autohex	1
TOP.66ba5c37.000d5d1f	user_options->outfile_check_timer	5
TOP.66ba5c37.000d5d1f	user_options->outfile_format	3
TOP.66ba5c37.000d5d1f	user_options->wordlist_autohex_disable	0
TOP.66ba5c37.000d5d1f	user_options->potfile_disable	0
TOP.66ba5c37.000d5d1f	user_options->progress_only	0
TOP.66ba5c37.000d5d1f	user_options->quiet	1
TOP.66ba5c37.000d5d1f	user_options->remove	0
TOP.66ba5c37.000d5d1f	user_options->remove_timer	60
TOP.66ba5c37.000d5d1f	user_options->restore	0
TOP.66ba5c37.000d5d1f	user_options->restore_disable	1
TOP.66ba5c37.000d5d1f	user_options->restore_timer	1
TOP.66ba5c37.000d5d1f	user_options->rp_files_cnt	0
TOP.66ba5c37.000d5d1f	user_options->rp_gen	0
TOP.66ba5c37.000d5d1f	user_options->rp_gen_func_max	4
TOP.66ba5c37.000d5d1f	user_options->rp_gen_func_min	1
TOP.66ba5c37.000d5d1f	user_options->rp_gen_seed	0
TOP.66ba5c37.000d5d1f	user_options->runtime	0
TOP.66ba5c37.000d5d1f	user_options->scrypt_tmto	0
TOP.66ba5c37.000d5d1f	user_options->segment_size	33554432
TOP.66ba5c37.000d5d1f	user_options->self_test_disable	0
TOP.66ba5c37.000d5d1f	user_options->slow_candidates	0
TOP.66ba5c37.000d5d1f	user_options->show	1
TOP.66ba5c37.000d5d1f	user_options->speed_only	0
TOP.66ba5c37.000d5d1f	user_options->spin_damp	0
TOP.66ba5c37.000d5d1f	user_options->status	0
TOP.66ba5c37.000d5d1f	user_options->status_json	0
TOP.66ba5c37.000d5d1f	user_options->status_timer	10
TOP.66ba5c37.000d5d1f	user_options->stdout_flag	0
TOP.66ba5c37.000d5d1f	user_options->usage	0
TOP.66ba5c37.000d5d1f	user_options->username	0
TOP.66ba5c37.000d5d1f	user_options->veracrypt_pim_start	485
TOP.66ba5c37.000d5d1f	user_options->veracrypt_pim_stop	485
TOP.66ba5c37.000d5d1f	user_options->version	0
TOP.66ba5c37.000d5d1f	user_options->workload_profile	2
TOP.66ba5c37.000d5d1f	user_options->brain_client	0
TOP.66ba5c37.000d5d1f	user_options->brain_client_features	2
TOP.66ba5c37.000d5d1f	user_options->brain_server	0
TOP.66ba5c37.000d5d1f	user_options->brain_server_timer	300
TOP.66ba5c37.000d5d1f	user_options->brain_port	6863
TOP.66ba5c37.000d5d1f	user_options->brain_session	0
TOP.66ba5c37.000d5d1f	proc_start	1723489335
TOP.66ba5c37.000d5d1f	proc_stop	1723489336
TOP.66ba5c37.000d5d1f	STOP
TOP.66ba5d70.0005e0fd	START
TOP.66ba5d70.0005e0fd	folder_config->cwd	C:\Users\Admin\Documents\PK SEMESTR 3\PRACA MAGISTERSKA\DISTRIBUTED CRACKING\hashcat
TOP.66ba5d70.0005e0fd	folder_config->install_dir	.
TOP.66ba5d70.0005e0fd	folder_config->profile_dir	.
TOP.66ba5d70.0005e0fd	folder_config->session_dir	.
TOP.66ba5d70.0005e0fd	folder_config->shared_dir	.
TOP.66ba5d70.0005e0fd	user_options->encoding_from	utf-8
TOP.66ba5d70.0005e0fd	user_options->encoding_to	utf-8
TOP.66ba5d70.0005e0fd	user_options->outfile	..\output.txt
TOP.66ba5d70.0005e0fd	user_options->rule_buf_l	:
TOP.66ba5d70.0005e0fd	user_options->rule_buf_r	:
TOP.66ba5d70.0005e0fd	user_options->session	show
TOP.66ba5d70.0005e0fd	user_options->separator	:
TOP.66ba5d70.0005e0fd	user_options->limit	0
TOP.66ba5d70.0005e0fd	user_options->skip	0
TOP.66ba5d70.0005e0fd	user_options->attack_mode	100
TOP.66ba5d70.0005e0fd	user_options->benchmark	0
TOP.66ba5d70.0005e0fd	user_options->benchmark_all	0
TOP.66ba5d70.0005e0fd	user_options->bitmap_max	18
TOP.66ba5d70.0005e0fd	user_options->bitmap_min	16
TOP.66ba5d70.0005e0fd	user_options->debug_mode	0
TOP.66ba5d70.0005e0fd	user_options->hash_info	0
TOP.66ba5d70.0005e0fd	user_options->force	0
TOP.66ba5d70.0005e0fd	user_options->hwmon_disable	0
TOP.66ba5d70.0005e0fd	user_options->hwmon_temp_abort	90
TOP.66ba5d70.0005e0fd	user_options->hash_mode	0
TOP.66ba5d70.0005e0fd	user_options->hex_charset	0
TOP.66ba5d70.0005e0fd	user_options->hex_salt	0
TOP.66ba5d70.0005e0fd	user_options->hex_wordlist	0
TOP.66ba5d70.0005e0fd	user_options->hook_threads	0
TOP.66ba5d70.0005e0fd	user_options->identify	0
TOP.66ba5d70.0005e0fd	user_options->increment	0
TOP.66ba5d70.0005e0fd	user_options->increment_max	256
TOP.66ba5d70.0005e0fd	user_options->increment_min	1
TOP.66ba5d70.0005e0fd	user_options->keep_guessing	0
TOP.66ba5d70.0005e0fd	user_options->kernel_accel	0
TOP.66ba5d70.0005e0fd	user_options->kernel_loops	0
TOP.66ba5d70.0005e0fd	user_options->kernel_threads	0
TOP.66ba5d70.0005e0fd	user_options->keyspace	0
TOP.66ba5d70.0005e0fd	user_options->left	0
TOP.66ba5d70.0005e0fd	user_options->logfile_disable	0
TOP.66ba5d70.0005e0fd	user_options->loopback	0
TOP.66ba5d70.0005e0fd	user_options->machine_readable	0
TOP.66ba5d70.0005e0fd	user_options->markov_classic	0
TOP.66ba5d70.0005e0fd	user_options->markov_disable	0
TOP.66ba5d70.0005e0fd	user_options->markov_inverse	0
TOP.66ba5d70.0005e0fd	user_options->markov_threshold	256
TOP.66ba5d70.0005e0fd	user_options->multiply_accel_disable	0
TOP.66ba5d70.0005e0fd	user_options->backend_info	0
TOP.66ba5d70.0005e0fd	user_options->backend_vector_width	0
TOP.66ba5d70.0005e0fd	user_options->optimized_kernel_enable	0
TOP.66ba5d70.0005e0fd	user_options->outfile_autohex	1
TOP.66ba5d70.0005e0fd	user_options->outfile_check_timer	5
TOP.66ba5d70.0005e0fd	user_options->outfile_format	3
TOP.66ba5d70.0005e0fd	user_options->wordlist_autohex_disable	0
TOP.66ba5d70.0005e0fd	user_options->potfile_disable	0
TOP.66ba5d70.0005e0fd	user_options->progress_only	0
TOP.66ba5d70.0005e0fd	user_options->quiet	1
TOP.66ba5d70.0005e0fd	user_options->remove	0
TOP.66ba5d70.0005e0fd	user_options->remove_timer	60
TOP.66ba5d70.0005e0fd	user_options->restore	0
TOP.66ba5d70.0005e0fd	user_options->restore_disable	1
TOP.66ba5d70.0005e0fd	user_options->restore_timer	1
TOP.66ba5d70.0005e0fd	user_options->rp_files_cnt	0
TOP.66ba5d70.0005e0fd	user_options->rp_gen	0
TOP.66ba5d70.0005e0fd	user_options->rp_gen_func_max	4
TOP.66ba5d70.0005e0fd	user_options->rp_gen_func_min	1
TOP.66ba5d70.0005e0fd	user_options->rp_gen_seed	0
TOP.66ba5d70.0005e0fd	user_options->runtime	0
TOP.66ba5d70.0005e0fd	user_options->scrypt_tmto	0
TOP.66ba5d70.0005e0fd	user_options->segment_size	33554432
TOP.66ba5d70.0005e0fd	user_options->self_test_disable	0
TOP.66ba5d70.0005e0fd	user_options->slow_candidates	0
TOP.66ba5d70.0005e0fd	user_options->show	1
TOP.66ba5d70.0005e0fd	user_options->speed_only	0
TOP.66ba5d70.0005e0fd	user_options->spin_damp	0
TOP.66ba5d70.0005e0fd	user_options->status	0
TOP.66ba5d70.0005e0fd	user_options->status_json	0
TOP.66ba5d70.0005e0fd	user_options->status_timer	10
TOP.66ba5d70.0005e0fd	user_options->stdout_flag	0
TOP.66ba5d70.0005e0fd	user_options->usage	0
TOP.66ba5d70.0005e0fd	user_options->username	0
TOP.66ba5d70.0005e0fd	user_options->veracrypt_pim_start	485
TOP.66ba5d70.0005e0fd	user_options->veracrypt_pim_stop	485
TOP.66ba5d70.0005e0fd	user_options->version	0
TOP.66ba5d70.0005e0fd	user_options->workload_profile	2
TOP.66ba5d70.0005e0fd	user_options->brain_client	0
TOP.66ba5d70.0005e0fd	user_options->brain_client_features	2
TOP.66ba5d70.0005e0fd	user_options->brain_server	0
TOP.66ba5d70.0005e0fd	user_options->brain_server_timer	300
TOP.66ba5d70.0005e0fd	user_options->brain_port	6863
TOP.66ba5d70.0005e0fd	user_options->brain_session	0
TOP.66ba5d70.0005e0fd	proc_start	1723489648
TOP.66ba5d70.0005e0fd	proc_stop	1723489649
TOP.66ba5d70.0005e0fd	STOP
TOP.66ba5d93.000669b1	START
TOP.66ba5d93.000669b1	folder_config->cwd	C:\Users\Admin\Documents\PK SEMESTR 3\PRACA MAGISTERSKA\DISTRIBUTED CRACKING\hashcat
TOP.66ba5d93.000669b1	folder_config->install_dir	.
TOP.66ba5d93.000669b1	folder_config->profile_dir	.
TOP.66ba5d93.000669b1	folder_config->session_dir	.
TOP.66ba5d93.000669b1	folder_config->shared_dir	.
TOP.66ba5d93.000669b1	user_options->encoding_from	utf-8
TOP.66ba5d93.000669b1	user_options->encoding_to	utf-8
TOP.66ba5d93.000669b1	user_options->outfile	..\output.txt
TOP.66ba5d93.000669b1	user_options->rule_buf_l	:
TOP.66ba5d93.000669b1	user_options->rule_buf_r	:
TOP.66ba5d93.000669b1	user_options->session	show
TOP.66ba5d93.000669b1	user_options->separator	:
TOP.66ba5d93.000669b1	user_options->limit	0
TOP.66ba5d93.000669b1	user_options->skip	0
TOP.66ba5d93.000669b1	user_options->attack_mode	100
TOP.66ba5d93.000669b1	user_options->benchmark	0
TOP.66ba5d93.000669b1	user_options->benchmark_all	0
TOP.66ba5d93.000669b1	user_options->bitmap_max	18
TOP.66ba5d93.000669b1	user_options->bitmap_min	16
TOP.66ba5d93.000669b1	user_options->debug_mode	0
TOP.66ba5d93.000669b1	user_options->hash_info	0
TOP.66ba5d93.000669b1	user_options->force	0
TOP.66ba5d93.000669b1	user_options->hwmon_disable	0
TOP.66ba5d93.000669b1	user_options->hwmon_temp_abort	90
TOP.66ba5d93.000669b1	user_options->hash_mode	0
TOP.66ba5d93.000669b1	user_options->hex_charset	0
TOP.66ba5d93.000669b1	user_options->hex_salt	0
TOP.66ba5d93.000669b1	user_options->hex_wordlist	0
TOP.66ba5d93.000669b1	user_options->hook_threads	0
TOP.66ba5d93.000669b1	user_options->identify	0
TOP.66ba5d93.000669b1	user_options->increment	0
TOP.66ba5d93.000669b1	user_options->increment_max	256
TOP.66ba5d93.000669b1	user_options->increment_min	1
TOP.66ba5d93.000669b1	user_options->keep_guessing	0
TOP.66ba5d93.000669b1	user_options->kernel_accel	0
TOP.66ba5d93.000669b1	user_options->kernel_loops	0
TOP.66ba5d93.000669b1	user_options->kernel_threads	0
TOP.66ba5d93.000669b1	user_options->keyspace	0
TOP.66ba5d93.000669b1	user_options->left	0
TOP.66ba5d93.000669b1	user_options->logfile_disable	0
TOP.66ba5d93.000669b1	user_options->loopback	0
TOP.66ba5d93.000669b1	user_options->machine_readable	0
TOP.66ba5d93.000669b1	user_options->markov_classic	0
TOP.66ba5d93.000669b1	user_options->markov_disable	0
TOP.66ba5d93.000669b1	user_options->markov_inverse	0
TOP.66ba5d93.000669b1	user_options->markov_threshold	256
TOP.66ba5d93.000669b1	user_options->multiply_accel_disable	0
TOP.66ba5d93.000669b1	user_options->backend_info	0
TOP.66ba5d93.000669b1	user_options->backend_vector_width	0
TOP.66ba5d93.000669b1	user_options->optimized_kernel_enable	0
TOP.66ba5d93.000669b1	user_options->outfile_autohex	1
TOP.66ba5d93.000669b1	user_options->outfile_check_timer	5
TOP.66ba5d93.000669b1	user_options->outfile_format	3
TOP.66ba5d93.000669b1	user_options->wordlist_autohex_disable	0
TOP.66ba5d93.000669b1	user_options->potfile_disable	0
TOP.66ba5d93.000669b1	user_options->progress_only	0
TOP.66ba5d93.000669b1	user_options->quiet	1
TOP.66ba5d93.000669b1	user_options->remove	0
TOP.66ba5d93.000669b1	user_options->remove_timer	60
TOP.66ba5d93.000669b1	user_options->restore	0
TOP.66ba5d93.000669b1	user_options->restore_disable	1
TOP.66ba5d93.000669b1	user_options->restore_timer	1
TOP.66ba5d93.000669b1	user_options->rp_files_cnt	0
TOP.66ba5d93.000669b1	user_options->rp_gen	0
TOP.66ba5d93.000669b1	user_options->rp_gen_func_max	4
TOP.66ba5d93.000669b1	user_options->rp_gen_func_min	1
TOP.66ba5d93.000669b1	user_options->rp_gen_seed	0
TOP.66ba5d93.000669b1	user_options->runtime	0
TOP.66ba5d93.000669b1	user_options->scrypt_tmto	0
TOP.66ba5d93.000669b1	user_options->segment_size	33554432
TOP.66ba5d93.000669b1	user_options->self_test_disable	0
TOP.66ba5d93.000669b1	user_options->slow_candidates	0
TOP.66ba5d93.000669b1	user_options->show	1
TOP.66ba5d93.000669b1	user_options->speed_only	0
TOP.66ba5d93.000669b1	user_options->spin_damp	0
TOP.66ba5d93.000669b1	user_options->status	0
TOP.66ba5d93.000669b1	user_options->status_json	0
TOP.66ba5d93.000669b1	user_options->status_timer	10
TOP.66ba5d93.000669b1	user_options->stdout_flag	0
TOP.66ba5d93.000669b1	user_options->usage	0
TOP.66ba5d93.000669b1	user_options->username	0
TOP.66ba5d93.000669b1	user_options->veracrypt_pim_start	485
TOP.66ba5d93.000669b1	user_options->veracrypt_pim_stop	485
TOP.66ba5d93.000669b1	user_options->version	0
TOP.66ba5d93.000669b1	user_options->workload_profile	2
TOP.66ba5d93.000669b1	user_options->brain_client	0
TOP.66ba5d93.000669b1	user_options->brain_client_features	2
TOP.66ba5d93.000669b1	user_options->brain_server	0
TOP.66ba5d93.000669b1	user_options->brain_server_timer	300
TOP.66ba5d93.000669b1	user_options->brain_port	6863
TOP.66ba5d93.000669b1	user_options->brain_session	0
TOP.66ba5d93.000669b1	proc_start	1723489683
TOP.66ba5d93.000669b1	proc_stop	1723489684
TOP.66ba5d93.000669b1	STOP
TOP.66ba5dac.000b1fb5	START
TOP.66ba5dac.000b1fb5	folder_config->cwd	C:\Users\Admin\Documents\PK SEMESTR 3\PRACA MAGISTERSKA\DISTRIBUTED CRACKING\hashcat
TOP.66ba5dac.000b1fb5	folder_config->install_dir	.
TOP.66ba5dac.000b1fb5	folder_config->profile_dir	.
TOP.66ba5dac.000b1fb5	folder_config->session_dir	.
TOP.66ba5dac.000b1fb5	folder_config->shared_dir	.
TOP.66ba5dac.000b1fb5	user_options->encoding_from	utf-8
TOP.66ba5dac.000b1fb5	user_options->encoding_to	utf-8
TOP.66ba5dac.000b1fb5	user_options->outfile	..\output.txt
TOP.66ba5dac.000b1fb5	user_options->rule_buf_l	:
TOP.66ba5dac.000b1fb5	user_options->rule_buf_r	:
TOP.66ba5dac.000b1fb5	user_options->session	show
TOP.66ba5dac.000b1fb5	user_options->separator	:
TOP.66ba5dac.000b1fb5	user_options->limit	0
TOP.66ba5dac.000b1fb5	user_options->skip	0
TOP.66ba5dac.000b1fb5	user_options->attack_mode	100
TOP.66ba5dac.000b1fb5	user_options->benchmark	0
TOP.66ba5dac.000b1fb5	user_options->benchmark_all	0
TOP.66ba5dac.000b1fb5	user_options->bitmap_max	18
TOP.66ba5dac.000b1fb5	user_options->bitmap_min	16
TOP.66ba5dac.000b1fb5	user_options->debug_mode	0
TOP.66ba5dac.000b1fb5	user_options->hash_info	0
TOP.66ba5dac.000b1fb5	user_options->force	0
TOP.66ba5dac.000b1fb5	user_options->hwmon_disable	0
TOP.66ba5dac.000b1fb5	user_options->hwmon_temp_abort	90
TOP.66ba5dac.000b1fb5	user_options->hash_mode	0
TOP.66ba5dac.000b1fb5	user_options->hex_charset	0
TOP.66ba5dac.000b1fb5	user_options->hex_salt	0
TOP.66ba5dac.000b1fb5	user_options->hex_wordlist	0
TOP.66ba5dac.000b1fb5	user_options->hook_threads	0
TOP.66ba5dac.000b1fb5	user_options->identify	0
TOP.66ba5dac.000b1fb5	user_options->increment	0
TOP.66ba5dac.000b1fb5	user_options->increment_max	256
TOP.66ba5dac.000b1fb5	user_options->increment_min	1
TOP.66ba5dac.000b1fb5	user_options->keep_guessing	0
TOP.66ba5dac.000b1fb5	user_options->kernel_accel	0
TOP.66ba5dac.000b1fb5	user_options->kernel_loops	0
TOP.66ba5dac.000b1fb5	user_options->kernel_threads	0
TOP.66ba5dac.000b1fb5	user_options->keyspace	0
TOP.66ba5dac.000b1fb5	user_options->left	0
TOP.66ba5dac.000b1fb5	user_options->logfile_disable	0
TOP.66ba5dac.000b1fb5	user_options->loopback	0
TOP.66ba5dac.000b1fb5	user_options->machine_readable	0
TOP.66ba5dac.000b1fb5	user_options->markov_classic	0
TOP.66ba5dac.000b1fb5	user_options->markov_disable	0
TOP.66ba5dac.000b1fb5	user_options->markov_inverse	0
TOP.66ba5dac.000b1fb5	user_options->markov_threshold	256
TOP.66ba5dac.000b1fb5	user_options->multiply_accel_disable	0
TOP.66ba5dac.000b1fb5	user_options->backend_info	0
TOP.66ba5dac.000b1fb5	user_options->backend_vector_width	0
TOP.66ba5dac.000b1fb5	user_options->optimized_kernel_enable	0
TOP.66ba5dac.000b1fb5	user_options->outfile_autohex	1
TOP.66ba5dac.000b1fb5	user_options->outfile_check_timer	5
TOP.66ba5dac.000b1fb5	user_options->outfile_format	3
TOP.66ba5dac.000b1fb5	user_options->wordlist_autohex_disable	0
TOP.66ba5dac.000b1fb5	user_options->potfile_disable	0
TOP.66ba5dac.000b1fb5	user_options->progress_only	0
TOP.66ba5dac.000b1fb5	user_options->quiet	1
TOP.66ba5dac.000b1fb5	user_options->remove	0
TOP.66ba5dac.000b1fb5	user_options->remove_timer	60
TOP.66ba5dac.000b1fb5	user_options->restore	0
TOP.66ba5dac.000b1fb5	user_options->restore_disable	1
TOP.66ba5dac.000b1fb5	user_options->restore_timer	1
TOP.66ba5dac.000b1fb5	user_options->rp_files_cnt	0
TOP.66ba5dac.000b1fb5	user_options->rp_gen	0
TOP.66ba5dac.000b1fb5	user_options->rp_gen_func_max	4
TOP.66ba5dac.000b1fb5	user_options->rp_gen_func_min	1
TOP.66ba5dac.000b1fb5	user_options->rp_gen_seed	0
TOP.66ba5dac.000b1fb5	user_options->runtime	0
TOP.66ba5dac.000b1fb5	user_options->scrypt_tmto	0
TOP.66ba5dac.000b1fb5	user_options->segment_size	33554432
TOP.66ba5dac.000b1fb5	user_options->self_test_disable	0
TOP.66ba5dac.000b1fb5	user_options->slow_candidates	0
TOP.66ba5dac.000b1fb5	user_options->show	1
TOP.66ba5dac.000b1fb5	user_options->speed_only	0
TOP.66ba5dac.000b1fb5	user_options->spin_damp	0
TOP.66ba5dac.000b1fb5	user_options->status	0
TOP.66ba5dac.000b1fb5	user_options->status_json	0
TOP.66ba5dac.000b1fb5	user_options->status_timer	10
TOP.66ba5dac.000b1fb5	user_options->stdout_flag	0
TOP.66ba5dac.000b1fb5	user_options->usage	0
TOP.66ba5dac.000b1fb5	user_options->username	0
TOP.66ba5dac.000b1fb5	user_options->veracrypt_pim_start	485
TOP.66ba5dac.000b1fb5	user_options->veracrypt_pim_stop	485
TOP.66ba5dac.000b1fb5	user_options->version	0
TOP.66ba5dac.000b1fb5	user_options->workload_profile	2
